"Id;""Designator"";""Footprint"";""Quantity"";""Designation"";""Supplier and ref"";",,,
"1;""OPA2"";""SOIC127P600X175-8N"";1;""TL082"";;;",,,
"2;""GND"";""PinHeader_1x01_P2.54mm_Vertical"";1;""TP4"";;;",,,
"3;""OPA1"";""SOIC127P600X175-14N"";1;""TL084"";;;",,,
"4;""C11",C9,"C7"";""C_0603_1608Metric"";3;""0.01u"";;;",
"5;""C10",C8,C6,"C5"";""C_0603_1608Metric"";4;""0.1u"";;;"
"6;""C4"";""C_0603_1608Metric"";1;"".01u"";;;",,,
"7;""CHUA_OUT"";""PinHeader_1x01_P2.54mm_Vertical"";1;""Male_Header_1x1"";;;",,,
"8;""R5","R4"";""R_0603_1608Metric"";2;""22K"";;;",,
"9;""R6"";""R_0603_1608Metric"";1;""3.3K"";;;",,,
"10;""C2","C3"";""C_1206_3216Metric"";2;""100nF"";;;",,
"11;""-VCC","+VCC"";""PinHeader_1x01_P2.54mm_Vertical"";2;""J1"";;;",,
"12;""R9","R8"";""R_0603_1608Metric"";2;""1K"";;;",,
"13;""RV1"";""PinHeader_1x03_P2.54mm_Vertical"";1;""5K"";;;",,,
"14;""Y"";""PinHeader_1x01_P2.54mm_Vertical"";1;""TP2"";;;",,,
"15;""C1"";""C_0603_1608Metric"";1;""10nF"";;;",,,
"16;""R7"";""R_0603_1608Metric"";1;""100"";;;",,,
"17;""RV2"";""PinHeader_1x03_P2.54mm_Vertical"";1;""5k"";;;",,,
"18;""R2","R1"";""R_0603_1608Metric"";2;""220"";;;",,
"19;""R3"";""R_0603_1608Metric"";1;""2.2K"";;;",,,
"20;""Z"";""PinHeader_1x01_P2.54mm_Vertical"";1;""TP1"";;;",,,
"21;""X"";""PinHeader_1x01_P2.54mm_Vertical"";1;""TP3"";;;",,,
