Designator,Footprint,Quantity,Value,LCSC Part #
"+VCC, -VCC",PinHeader_1x01_P2.54mm_Vertical,2,Male_Header_1x1 2.54mm,
C1,603,1,10nF,C22399611
"C10, C5, C6, C8",603,4,0.1u,C24452
"C11, C7, C9",603,3,0.01u,C389113
"C2, C3",1206,2,100nF,C170182
C4,603,1,.01u,C389113
CHUA_OUT,PinHeader_1x01_P2.54mm_Vertical,1,Male_Header_1x1 2.54mm,
GND,PinHeader_1x01_P2.54mm_Vertical,1,TP4,
OPA1,SOIC127P600X175-14N,1,TL084,C11130
OPA2,SOIC127P600X175-8N,1,TL082,C13460
"R1, R2",603,2,220,C22962
R3,603,1,2.2K,C4190
"R4, R5",603,2,22K,C31850
R6,603,1,3.3K,C22978
R7,603,1,100,C22369795
"R8, R9",603,2,1K,C21190
"RV1, RV2",PinHeader_1x03_P2.54mm_Vertical,2,5K,
X,PinHeader_1x01_P2.54mm_Vertical,1,TP3,
Y,PinHeader_1x01_P2.54mm_Vertical,1,TP2,
Z,PinHeader_1x01_P2.54mm_Vertical,1,TP1,
