Designator,Mid X,Mid Y,Rotation,Layer
#NAME?,126.5,-92.5,0,top
#NAME?,131,-92.5,0,top
C1,134.725,-115,0,top
C10,138,-101.5,90,top
C11,141,-101.5,90,top
C2,140.475,-115.5,0,top
C3,146.5,-115.525,90,top
C4,131,-97.725,90,top
C5,134,-97.725,90,top
C6,137,-97.725,90,top
C7,140,-97.725,90,top
C8,143,-97.725,90,top
C9,135,-101.5,90,top
CHUA_OUT,150.5,-92.5,0,top
GND,126.5,-102,0,top
OPA1,138,-108,270,top
OPA2,138,-93,270,top
R1,132,-101.175,270,top
R2,132,-104.675,270,top
R3,144,-102.675,90,top
R4,132,-108.175,270,top
R5,132,-111.85,270,top
R6,144,-106.325,90,top
R7,144,-109.675,90,top
R8,144,-113.175,90,top
R9,146,-111.5,270,top
RV1,150.5,-103.54,0,top
RV2,150.5,-115.04,0,top
X,126.5,-107,0,top
Y,126.5,-112,0,top
Z,126.5,-117,0,top
